Genus	Species	1C (pg)
Penstemon	ambiguus	0.52
Oxalis	unduavensis	0.52
Goodenia	mimuloides	0.52
Trifolium	tomentosum	0.52
Trifolium	resupinatum	0.52
Oxalis	humbertii	0.52
Populus	alba	0.52
Draba	doerfleri	0.52
Thlaspi	arvense	0.52
Hirschfeldia	incana	0.52
Penstemon	deustus	0.52
Ricinus	communis	0.52
Amaranthus	cruentus	0.53
Luzula	australasica	0.53
Juncus	squarrosus	0.53
Vigna	trilobata	0.53
Plantago	ovata	0.53
Serissa	serissoides	0.53
Potamogeton	crispus	0.53
Saururus	cernuus	0.53
Sparganium	erectum	0.53
Oropetium	roxburgianum	0.53
Phaseolus	oligospermus	0.53
Phaseolus	leptostachyus	0.53
Vitis	labrusca	0.53
Parthenocissus	tricuspidata	0.53
Malva	parviflora	0.53
Aegle	marmelos	0.53
Acacia	tortilis	0.53
Lonchocarpus	mutans	0.53
Lonchocarpus	obovatus	0.53
Lonchocarpus	castilloi	0.53
Lonchocarpus	emarginatus	0.53
Lonchocarpus	spectabilis	0.53
Lonchocarpus	peninsularis	0.53
Lonchocarpus	santarosanus	0.53
Lonchocarpus	atropurpureus	0.53
Lonchocarpus	phlebophyllus	0.53
Lonchocarpus	luteomaculatus	0.53
Rosa	banksiae	0.53
Calathea	kegeliana	0.53
Carex	foliosissima	0.53
Setaria	italica	0.53
Epilobium	ciliatum	0.53
Maranta	bicolor	0.53
Lotus	krylovii	0.53
Lotus	burttii	0.53
Vigna	radiata	0.53
Sedum	montanum	0.53
Atalantia	ceylanica	0.53
Herniaria	glabra	0.53
Polygala	microphylla	0.53
Pinguicula	heterophylla	0.53
Alnus	x pubescens	0.53
Valeriana	saxatilis	0.53
Herrania	camargoana	0.53
Oxalis	tabaconasensis	0.53
Psidium	cattleianum	0.53
Fouquieria	splendens	0.53
Leucaena	matudae	0.53
Sapindus	emarginatus	0.53
Lobularia	libyaca	0.53
Olimarabidopsis	cabulica	0.53
Aeonium	urbicum	0.53
Sinapidendron	angustifolium	0.53
Pitcairnia	angustifolia	0.53
Begonia	maculata	0.53
Penstemon	newberryi	0.53
Oxalis	spiralis	0.53
Oxalis	coralleoides	0.53
Pinguicula	cyclosecta	0.53
Sisymbrium	irio	0.53
Sesamum	triphyllum	0.54
Enteropogon	acicularis	0.54
Sinapidendron	gymnocalyx	0.54
Acer	negundo	0.54
Centranthus	velenovskyi	0.54
Penstemon	serrulatus	0.54
Trifolium	fragiferum	0.54
Planchonella	eerwah	0.54
Stenotaphrum	secundatum	0.54
Leucaena	collinsii	0.54
Populus	nigra	0.54
Lupinus	pusillus	0.54
Erysimum	scoparium	0.54
Veronica	verna	0.54
Cymodocea	nodosa	0.54
Rorippa	palustris	0.54
Crucihimalaya	mollissima	0.54
Aeonium	canariense	0.54
Pitcairnia	halophila	0.54
Fagus	grandifolia	0.54
Coffea	pocsii	0.54
Xerophyta	humilis	0.54
Ribes	glutinosum	0.55
Lupinus	nanus	0.55
Polycarpaea	smithii	0.55
Pericallis	appendiculata	0.55
Salvia	nemorosa	0.55
Nasturtium	x sterile	0.55
Thymus	daënensis	0.55
Lotus	uliginosus	0.55
Sanguisorba	minor	0.55
Alnus	glutinosa	0.55
Alnus	viridis	0.55
Cytisus	nigricans	0.55
Vigna	repens	0.55
Vigna	angularis	0.55
Galopina	circaeoides	0.55
Vigna	sinensis	0.55
Fumaria	muralis	0.55
Vigna	mungo	0.55
Ananas	comosus	0.55
