Genus	Species	1C (pg)	Original Reference	Paper
Dioscorea	cayenensis-rotundata	1.30	Hamon et al., 1992 (Ref. 245)	1995
Houttuynia	cordata	1.30	Baum et al., 1989 (Ref. 269-D)	1995
Ludovia	lancifolia	1.30	Bharathan et al., 1994 (Ref. 272)	1997
Curcuma	zanthorrhiza	1.30	Bharathan et al., 1994 (Ref. 272)	1997
Phaseolus	geophillus	1.30	Ayonoadu, 1974 (Ref. 28)	1976
Hypochaeris	robertia	1.30	Cerbah et al., 1995 (Ref. 280)	1997
Acacia	verek	1.30	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Dendrobium	bellatulum	1.30	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	crumenatum	1.30	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	atroviolaceum	1.30	Jones et al., 1998 (Ref. 307)	2000
Phytolacca	dioica	1.30	Poggio et al., 1999 (Ref. 354)	2000
Phytolacca	rivinoides	1.30	Poggio et al., 1999 (Ref. 354)	2000
Salacca	zalacca	1.30	Hanson et al., 1999 (Ref. 377)	2000
Thalictrum	aquilegiifolium	1.30	Ingle et al., 1975 (Ref. 69)	1982
Platanus	orientalis	1.30	Hanson et al., 2001 (Ref. 379)	2005a
Petunia	altiplana	1.30	Mishiba et al., 2000 (Ref. 387)	2005a
Cerastium	arvense	1.30	Boscaiu et al., 1999 (Ref. 427)	2005a
Ramonda	pyrenaica	1.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Sansevieria	trifasciata	1.30	Zonneveld et al., 2005 (Ref. 466)	2005b
Jacaranda	cuspidifolia	1.30	Ohri et al., 2004 (Ref. 501)	2011
Crataegus	lepida	1.30	Telent & Dickinson, 2005 (Ref. 527)	2011
Curcuma	coriacea	1.30	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Fibigia	triquetra	1.30	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Halacsya	sendtneri	1.30	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Valeriana	montana	1.30	Hidalgo et al., 2010 (Ref. 638)	2012
Conostylis	candicans	1.31	Hanson et al., 2005 (Ref. 612)	2011
Viola	anagae	1.31	Suda et al., 2005 (Ref. 552)	2011
Penstemon	confertus	1.31	Broderick et al., 2011 (Ref. 648)	2012
Genlisea	lobata	1.31	Greilhuber et al., 2006 (Ref. 535)	2011
Stylobasium	spathulatum	1.31	Hanson et al., 2001 (Ref. 378)	2005a
Cirsium	acaule	1.31	Bures et al., 2004 (Ref. 472)	2011
Erythrina	corallodendron	1.31	Ohri et al., 2004 (Ref. 501)	2011
Taraxacum	brachyglossum	1.31	Závesky et al., 2005 (Ref. 514)	2011
Sonchus	radicatus	1.31	Suda et al., 2003 (Ref. 477)	2011
Veronica	ciliata	1.31	Albach & Greilhuber, 2003 (Ref. 478)	2011
Veronicastrum	virginicum	1.31	Albach & Greilhuber, 2003 (Ref. 478)	2011
Hydrastis	canadensis	1.31	Obae & West, 2010 (Ref. 689)	2012
Cotoneaster	veitchii	1.32	Jedrzejczyk and Sliwinska, 2010 (Ref. 661)	2012
Veronica	missurica	1.32	Albach & Greilhuber, 2003 (Ref. 478)	2011
Haldina	cordifolia	1.32	Ohri, 2002 (Ref. 454)	2005a
Silene	pusilla	1.32	Temsch et al., 2010 (Ref. 627)	2012
Correa	virens	1.33	Guerra M dos S., 1984 (Ref. 140)	1991
Rhamnus	catharticus	1.33	Band, 1984 (Ref. 154)	1991
Glycine	cyrtoloba	1.33	Hammatt et al., 1991 (Ref. 165)	1995
Annona	reticulata	1.33	Ohri and Kumar, 1986 (Ref. 185)	1995
Cenchrus	ciliaris	1.33	Bennett and Smith, 1976 (Ref. 2)	1976
Hesperoxiphion	herrerae	1.33	Kenton et al., 1990 (Ref. 268)	1995
Phoenix	theophrasti	1.33	Röser et al., 1997 (Ref. 271)	1997
Acacia	gerrardi	1.33	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Acacia	salicina	1.33	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Impatiens	balsamina	1.33	Van't Hof, 1965 (Ref. 6)	1976
Crataegus	douglasii	1.33	Telent & Dickinson, 2005 (Ref. 527)	2011
Euphorbia	capitulata	1.33	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Tolpis	laciniata	1.33	Suda et al., 2003 (Ref. 477)	2011
Oryza	ridleyi	1.33	Ammiraju et al., 2006 (Ref. 545)	2011
Cardamine	asarifolia	1.34	Lihova et al., 2006 (Ref. 537)	2011
Turnera	subulata	1.34	Lopez et al., 2011 (Ref. 694)	2012
Erythrina	blakei	1.34	Ohri et al., 2004 (Ref. 501)	2011
Gossypium	longicalyx	1.34	Hendrix & Stewart, 2005 (Ref. 471)	2011
Lupinus	albicaulis	1.34	Naganowska et al., 2006 (Ref. 524)	2011
Crataegus	triflora	1.34	Telent & Dickinson, 2005 (Ref. 527)	2011
Amelanchier	alnifolia	1.34	Telent & Dickinson, 2005 (Ref. 527)	2011
