Genus	Species	1C (pg)	Original Reference	Paper
Crataegus	greggiana	1.37	Telent & Dickinson, 2005 (Ref. 527)	2011
Zotovia	thomsonii	1.37	Murray et al., 2005 (Ref. 528)	2011
Buddleja	davidii	1.37	Van Laere et al., 2009 (Ref. 693)	2012
Jeffersonia	dubia	1.37	Vesely et al., 2011 (Ref. 675)	2012
Hacquetia	epipactis	1.37	Vesely et al., 2011 (Ref. 675)	2012
Poa	supina	1.38	Bennett, 1972 (Ref. 1)	1976
Gladiolus	virescens	1.38	Goldblatt et al., 1984 (Ref. 137)	1991
Coprosma	repens	1.38	Kiehn, 1986 (Ref. 175)	1995
Phalaris	coerulescens	1.38	Kadir, 1974 (Ref. 26)	1976
Acacia	crassicarpa	1.38	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Gossypium	capits-virdis	1.38	Hendrix & Stewart, 2005 (Ref. 471)	2011
Tolpis	webbii	1.38	Suda et al., 2003 (Ref. 477)	2011
Sonchus	hierrensis	1.38	Suda et al., 2005 (Ref. 552)	2011
Turnera	ulmifolia	1.38	Lopez et al., 2011 (Ref. 694)	2012
Rytidosperma	viride	1.38	Murray et al., 2005 (Ref. 528)	2011
Tolpis	crassiuscula	1.38	Suda et al., 2005 (Ref. 552)	2011
Centaurea	montana	1.38	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Turnera	campaniflora	1.38	Lopez et al., 2011 (Ref. 694)	2012
Cotoneaster	horizontalis	1.39	Jedrzejczyk and Sliwinska, 2010 (Ref. 661)	2012
Gossypium	anomalum	1.39	Hendrix & Stewart, 2005 (Ref. 471)	2011
Passiflora	foetida	1.39	Souza et al., 2003 (Ref. 603)	2011
Passiflora	marifloia	1.39	Souza et al., 2003 (Ref. 603)	2011
Sorbus	intermedia	1.39	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Ixora	arborea	1.39	Ohri, 2002 (Ref. 454)	2005a
Myosotis	scorpioides	1.40	Band, 1984 (Ref. 154)	1991
Thymus	praecox	1.40	Mowforth, 1986 (Ref. 158)	1991
Paederia	scandens	1.40	Kiehn, 1986 (Ref. 175)	1995
Vigna	luteola	1.40	Lakhanpaul and Babu, 1991 (Ref. 279)	1997
Acacia	bivenosa	1.40	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Dendrobium	antennatum	1.40	Jones et al., 1998 (Ref. 307)	2000
Pennisetum	setaceum	1.40	Martel et al., 1997 (Ref. 308)	2000
Phytolacca	bogotensis	1.40	Poggio et al., 1999 (Ref. 354)	2000
Acacia	hylonoma	1.40	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Lotus	cytisoides	1.40	Borsos, 1973 (Ref. 51)	1976
Hedera	canariensis	1.40	Obermayer and Greilhuber, 2000 (Ref. 429)	2005a
Phalaenopsis	aphrodite	1.40	Lin et al., 2001 (Ref. 447)	2005a
Phalaenopsis	sanderiana	1.40	Lin et al., 2001 (Ref. 447)	2005a
Haberlea	rhodopensis	1.40	Zonneveld et al., 2005 (Ref. 466)	2005b
Cyanus	triumfettii	1.40	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Passiflora	miersii	1.40	Souza et al., 2003 (Ref. 603)	2011
Curcuma	latifolia	1.40	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Curcuma	ferruginea	1.40	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Begonia	boliviensis	1.40	Dewitte et al., 2009 (Ref. 618)	2012
Ferocactus	wislizenii	1.40	Sliwinska et al., 2009 (Ref. 624)	2012
Erythrina	humeana	1.41	Ohri et al., 2004 (Ref. 501)	2011
Curcuma	caesia	1.41	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Centaurea	dubia	1.41	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Cochlearia	borzaeana	1.41	Kochjarova et al., 2006 (Ref. 546)	2011
Rytidosperma	telmaticum	1.42	Murray et al., 2005 (Ref. 528)	2011
Curcuma	aromatica	1.42	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Buxus	papillosa	1.42	Ohri, 2002 (Ref. 454)	2005a
Cirsium	arvense	1.42	Bures et al., 2004 (Ref. 472)	2011
Passiflora	cincinnata	1.42	Souza et al., 2003 (Ref. 603)	2011
Tolpis	lagopoda	1.42	Suda et al., 2005 (Ref. 552)	2011
Curcuma	codonantha	1.42	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Rhodohypoxis	milloides	1.42	Hanson et al., 2001 (Ref. 379)	2005a
Erythrina	lysistemon	1.42	Ohri et al., 2004 (Ref. 501)	2011
Solanum	oxycarpum	1.43	Bennett et al., 1976 (Ref. 108)	1991
Cucumis	zeyheri	1.43	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Oxalis	renifolia	1.43	De Azkue and Martínez, 1988 (Ref. 172)	1995
Anogeissus	acuminata	1.43	Ohri and Kumar, 1986 (Ref. 185)	1995
Rosa	canina	1.43	Greilhuber, 1988 (Ref. 203)	1995
Leontodon	pyrenaicus	1.43	Bachmann et al., 1975 (Ref. 48)	1976
Calibrachoa	linoides	1.43	Mishiba et al., 2000 (Ref. 387)	2005a
Taraxacum	serotinum	1.43	Závesky et al., 2005 (Ref. 514)	2011
Curcuma	elata	1.43	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Echinocactus	grusonii	1.43	Sliwinska et al., 2009 (Ref. 624)	2012
Malus	sikkimensis	1.43	Höfer and Meister, 2010 (Ref. 625)	2012
Calibrachoa	dusenii	1.43	Mishiba et al., 2000 (Ref. 387)	2005a
Sonchus	acaulis	1.43	Suda et al., 2003 (Ref. 477)	2011
Curcuma	aeruginosa	1.43	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Schiedea	kaalae	1.43	Kapralov et al., 2009 (Ref. 684)	2012
Petunia	reitzii	1.44	Mishiba et al., 2000 (Ref. 387)	2005a
Crataegus	arnoldiana	1.44	Telent & Dickinson, 2005 (Ref. 527)	2011
Todaroa	aurea	1.44	Suda et al., 2003 (Ref. 477)	2011
Sonchus	congestus	1.44	Suda et al., 2003 (Ref. 477)	2011
Jasminum	odoratissimum	1.44	Suda et al., 2005 (Ref. 552)	2011
Sonchus	canariensis	1.44	Suda et al., 2005 (Ref. 552)	2011
Fuchsia	boliviana	1.44	Talluri and Murray, 2009 (Ref. 622)	2012
Carnegiea	gigantea	1.44	Sliwinska et al., 2009 (Ref. 624)	2012
Edraianthus	montenegrinus	1.44	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Malus	sieboldii	1.44	Höfer and Meister, 2010 (Ref. 625)	2012
Petunia	saxicola	1.44	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	micrantha	1.44	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	eglandulata	1.44	Mishiba et al., 2000 (Ref. 387)	2005a
Vitex	pinnata	1.44	Ohri, 2002 (Ref. 454)	2005a
Geranium	pyrenaicum	1.44	Kubesová et al., 2010 (Ref. 630)	2012
Cajanus	sericeus	1.44	Ohri and Singh, 2002 (Ref. 443)	2005a
Calibrachoa	spathulata	1.45	Mishiba et al., 2000 (Ref. 387)	2005a
Crataegus	ashei	1.45	Telent & Dickinson, 2005 (Ref. 527)	2011
Galium	saxatile	1.45	Band, 1984 (Ref. 154)	1991
Stellaria	holostea	1.45	Band, 1984 (Ref. 154)	1991
Plocama	pendula	1.45	Kiehn, 1986 (Ref. 175)	1995
Ferula	communis	1.45	Olmedilla et al., 1985 (Ref. 178)	1995
Tephrosia	purpurea	1.45	Raina et al., 1986 (Ref. 183)	1995
Tephrosia	uniflora	1.45	Raina et al., 1986 (Ref. 183)	1995
Luzula	pediformis	1.45	Sen et al., 1990 (Ref. 225)	1995
Acacia	farnesiana	1.45	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Epidendrum	steinbachii	1.45	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	signatum	1.45	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	rhodostictum	1.45	Jones et al., 1998 (Ref. 307)	2000
Dendrobium	strepsiceros	1.45	Jones et al., 1998 (Ref. 307)	2000
Myristica	dactyloides	1.45	Morawetz and Samuel, 1998 (Ref. 341)	2000
Rosa	moyesii	1.45	Yokoya et al., 2000 (Ref. 346)	2000
Acacia	crassa	1.45	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Acacia	orites	1.45	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Acacia	maidenii	1.45	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Acacia	bancrofti	1.45	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Oxalis	corniculata	1.45	Bennett et al., 1998 (Ref. 375)	2000
Calamus	caesius	1.45	Hanson et al., 1999 (Ref. 377)	2000
Petunia	bonjardinensis	1.45	Mishiba et al., 2000 (Ref. 387)	2005a
Cerastium	latifolium	1.45	Boscaiu et al., 1999 (Ref. 427)	2005a
Reichardia	intermedia	1.45	Siljak-Yakovev et al., 1998 (Ref. 688)	2012
Lemna	minor	1.46	Geber, 1989 (Ref. 400)	2005a
Anredera	cordifolia	1.46	Garcia S. et al., 2010 (Ref. 664)	2012
Malus	komarovii	1.46	Höfer and Meister, 2010 (Ref. 625)	2012
Malus	sargentii	1.46	Höfer and Meister, 2010 (Ref. 625)	2012
Dalbergia	lanceolaria	1.46	Hiramath et al., 2001 (Ref. 445)	2005a
Begonia	pearcei	1.46	Dewitte et al., 2009 (Ref. 618)	2012
Petunia	kleinii	1.47	Mishiba et al., 2000 (Ref. 387)	2005a
Petunia	scheideana	1.47	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	ericaefolia	1.47	Mishiba et al., 2000 (Ref. 387)	2005a
Petunia	helianthemoides	1.47	Mishiba et al., 2000 (Ref. 387)	2005a
Cynodon	dactylon	1.47	Taliaferro et al., 1997 (Ref. 438)	2005a
Diospyros	malabarica	1.47	Ohri, 2002 (Ref. 454)	2005a
Zotovia	colensoi	1.47	Murray et al., 2005 (Ref. 528)	2011
Fuchsia	magellanica	1.47	Talluri and Murray, 2009 (Ref. 622)	2012
Petunia	variabilis	1.47	Mishiba et al., 2000 (Ref. 387)	2005a
Sonchus	leptocephalus	1.47	Peer et al., 2003 (Ref. 522)	2011
Edraianthus	graminifolius	1.47	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Orychophragmus	violaceus	1.47	Lysák et al., 2007 (Ref. 602)	2011
Polylepis	tomentella	1.47	Schmidt-Lebuhn et al., 2010 (Ref. 620)	2012
Oxalis	glaucifolia	1.48	De Azkue and Martínez, 1988 (Ref. 172)	1995
Plantago	crassifolia	1.48	Badr et al., 1987 (Ref. 173)	1995
Bulnesia	chilensis	1.48	Poggio and Hunziker, 1986 (Ref. 174)	1995
Emblica	officinalis	1.48	Ohri and Kumar, 1986 (Ref. 185)	1995
Hedera	helix	1.48	König et al., 1987 (Ref. 256)	1995
Malva	sylvestris	1.48	Ceccarelli et al., 1998 (Ref. 313)	2000
Monodora	sp.	1.48	Morawetz and Samuel, 1998 (Ref. 341)	2000
Phytolacca	americana	1.48	Poggio et al., 1999 (Ref. 354)	2000
Petunia	pubescens	1.48	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	serrulata	1.48	Mishiba et al., 2000 (Ref. 387)	2005a
Hydrangea	heteromalla	1.48	Cerbah et al., 2001 (Ref. 397)	2005a
Crataegus	songarica	1.48	Telent & Dickinson, 2005 (Ref. 527)	2011
Crataegus	suksdorfii	1.48	Telent & Dickinson, 2005 (Ref. 527)	2011
Paspalum	exaltatum	1.48	Vaio et al., 2007 (Ref. 695)	2012
Malus	toringoides	1.48	Höfer and Meister, 2010 (Ref. 625)	2012
Petunia	alpicola	1.48	Mishiba et al., 2000 (Ref. 387)	2005a
Petunia	bajeensis	1.48	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	sendtneriana	1.48	Mishiba et al., 2000 (Ref. 387)	2005a
Crataegus	placiva	1.48	Telent & Dickinson, 2005 (Ref. 527)	2011
Sonchus	capillaris	1.48	Suda et al., 2005 (Ref. 552)	2011
Paspalum	dilatatum	1.48	Vaio et al., 2007 (Ref. 695)	2012
Erythrina	lithosperma	1.48	Ohri et al., 2004 (Ref. 501)	2011
Petunia	interior	1.49	Mishiba et al., 2000 (Ref. 387)	2005a
Petunia	littoralis	1.49	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	selloviana	1.49	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	heterophylla	1.49	Mishiba et al., 2000 (Ref. 387)	2005a
Valeriana	officinalis	1.49	Hidalgo et al., 2010 (Ref. 638)	2012
Petunia	riograndensis	1.49	Mishiba et al., 2000 (Ref. 387)	2005a
Crataegus	macracantha	1.49	Telent & Dickinson, 2005 (Ref. 527)	2011
Veronica	chamaedrys	1.49	Albach & Greilhuber, 2003 (Ref. 478)	2011
Teucrium	flavum	1.49	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Atriplex	vesicaria	1.50	Morgan & Westoby, 2005 (Ref. 526)	2011
Olea	cerasiformis	1.50	Brito et al., 2008 (Ref. 588)	2011
Passiflora	lutea	1.50	Vesely et al., 2011 (Ref. 675)	2012
Mentha	aquatica	1.50	Band, 1984 (Ref. 154)	1991
Glycine	curvata	1.50	Hammatt et al., 1991 (Ref. 165)	1995
Psygmorchis	pusilla	1.50	Albert et al., 1992 (Ref. 198)	1995
Duchesnea	indica	1.50	Dickson et al., 1992 (Ref. 262)	1995
Phoenix	rupicola	1.50	Röser et al., 1997 (Ref. 271)	1997
Licuala	aff. bintulensis	1.50	Röser et al., 1997 (Ref. 271)	1997
Tofieldia	glutinosa	1.50	Bharathan et al., 1994 (Ref. 272)	1997
Acacia	senegal	1.50	Mukerjee and Sharma, 1993 (Ref. 289)	1997
Paracalyx	scariosa	1.50	Ohri, 1996 (Ref. 303)	1997
Flemingia	strobilifera	1.50	Ohri, 1996 (Ref. 303)	1997
Dendrobium	polysema	1.50	Jones et al., 1998 (Ref. 307)	2000
Pennisetum	mezianum	1.50	Martel et al., 1997 (Ref. 308)	2000
Acacia	falcata	1.50	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Acacia	aulacocarpa	1.50	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Passiflora	antioquiensis	1.50	Ingle et al., 1975 (Ref. 69)	1982
Cerastium	banaticum	1.50	Boscaiu et al., 1999 (Ref. 427)	2005a
Archidendron	monadelphum	1.50	Ohri, 2002 (Ref. 454)	2005a
Erycina	pusilla	1.50	Chase et al., 2005 (Ref. 504)	2011
Teline	canariensis	1.50	Suda et al., 2003 (Ref. 477)	2011
Pandanus	fascicularis	1.50	Panda et al., 2007 (Ref. 558)	2011
Polylepis	australis	1.50	Schmidt-Lebuhn et al., 2010 (Ref. 620)	2012
Malus	lancifolia	1.50	Höfer and Meister, 2010 (Ref. 625)	2012
Polylepis	tarapacana	1.51	Schmidt-Lebuhn et al., 2010 (Ref. 620)	2012
Fuchsia	encliandra	1.51	Talluri and Murray, 2009 (Ref. 622)	2012
Valeriana	dioica	1.51	Hidalgo et al., 2010 (Ref. 638)	2012
Calibrachoa	macrodactylon	1.51	Mishiba et al., 2000 (Ref. 387)	2005a
Hydrangea	aspera	1.51	Cerbah et al., 2001 (Ref. 397)	2005a
Cerastium	carinthiacum	1.51	Boscaiu et al., 1999 (Ref. 427)	2005a
Viola	hirta	1.51	Temsch et al., 2010 (Ref. 627)	2012
Calibrachoa	linearis	1.52	Mishiba et al., 2000 (Ref. 387)	2005a
Calibrachoa	thymifolia	1.52	Mishiba et al., 2000 (Ref. 387)	2005a
Bellidiastrum	michelii	1.52	Temsch et al., 2010 (Ref. 627)	2012
Acridocarpus	natalitius	1.52	Hanson et al., 2001 (Ref. 379)	2005a
Garrya	fremontii	1.52	Hanson et al., 2003 (Ref. 380)	2005a
Myrmecodia	echinata	1.52	Zonneveld et al., 2005 (Ref. 466)	2005b
Atriplex	polycarpa	1.52	Sliwinska et al., 2009 (Ref. 624)	2012
Mammillaria	flavicentra	1.52	Del Angel et al., 2006 (Ref. 681)	2012
Stylidium	adnatum	1.53	Hanson et al., 2001 (Ref. 378)	2005a
Solanum	fendleri	1.53	Bennett et al., 1976 (Ref. 108)	1991
Babiana	virginea	1.53	Goldblatt et al., 1984 (Ref. 137)	1991
Rumex	obtusifolius	1.53	Mowforth, 1986 (Ref. 158)	1991
Hamelia	patens	1.53	Kiehn, 1986 (Ref. 175)	1995
Phoenix	roebelenii	1.53	Röser et al., 1997 (Ref. 271)	1997
Escobaria	bella	1.53	Barlow, 1974 (Ref. 31)	1976
Acacia	concurrens	1.53	Mukherjee and Sharma, 1995 (Ref. 364)	2000
Dypsis	lutescens	1.53	Hanson et al., 1999 (Ref. 377)	2000
Protoedraianthus	tarae	1.53	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Petunia	guarapuavensis	1.53	Mishiba et al., 2000 (Ref. 387)	2005a
Gossypium	somalense	1.53	Hendrix & Stewart, 2005 (Ref. 471)	2011
Crataegus	irrasa	1.53	Telent & Dickinson, 2005 (Ref. 527)	2011
Tamarix	canariensis	1.53	Garcia S. et al., 2010 (Ref. 664)	2012
Smilax	herbacea	1.53	Vesely et al., 2011 (Ref. 675)	2012
Asparagus	tenuifolius	1.53	Vesely et al., 2011 (Ref. 675)	2012
Calibrachoa	calycina	1.54	Mishiba et al., 2000 (Ref. 387)	2005a
Fuchsia	microphylla	1.54	Talluri and Murray, 2009 (Ref. 622)	2012
Genlisea	hispidula	1.54	Greilhuber et al., 2006 (Ref. 535)	2011
Laserpitium	peucedanoides	1.55	Vidic et al., 2009 (Ref. 628)	2012
Ziziphus	glabrata	1.55	Ohri, 2002 (Ref. 454)	2005a
Trifolium	hybridum	1.55	Kuriyan, 1984 (Ref. 126)	1991
Piper	arboreum	1.55	Samuel et al., 1986 (Ref. 180)	1995
Prinsepia	uniflora	1.55	Dickson et al., 1992 (Ref. 262)	1995
Chuniophoenix	nana	1.55	Röser et al., 1997 (Ref. 271)	1997
Washingtonia	filifera	1.55	Röser et al., 1997 (Ref. 271)	1997
Erythrina	suberosa	1.55	Ohri, 1996 (Ref. 301)	1997
Mammillaria	woodsii	1.55	Barlow, 1974 (Ref. 31)	1976
Peperomia	blanda	1.55	Morawetz and Samuel, 1998 (Ref. 341)	2000
Actinidia	arguta	1.55	Hopping ME., 1994 (Ref. 344)	2000
Berberis	darwinii	1.55	Bottini et al., 1998 (Ref. 353)	2000
Tamarix	tetrandra	1.55	Zonneveld et al., 2005 (Ref. 466)	2005b
Premna	latifolia	1.55	Ohri et al., 2004 (Ref. 501)	2011
Erigeron	calderae	1.55	Suda et al., 2003 (Ref. 477)	2011
Veronica	perfoliata	1.55	Albach & Greilhuber, 2003 (Ref. 478)	2011
Fuchsia	hatschbachii	1.55	Talluri and Murray, 2009 (Ref. 622)	2012
Berberis	croatica	1.55	Siljak-Yakovlev et al., 2010 (Ref. 634)	2012
Malus	glaucescens	1.55	Höfer and Meister, 2010 (Ref. 625)	2012
Petunia	mantiqueirensis	1.56	Mishiba et al., 2000 (Ref. 387)	2005a
Crataegus	macrosperma	1.56	Telent & Dickinson, 2005 (Ref. 527)	2011
Stahlianthus	involucratus	1.56	Leong-Skornickova et al., 2007 (Ref. 562)	2011
Mammillaria	supertexta	1.56	Del Angel et al., 2006 (Ref. 681)	2012
Callistemon	rigidus	1.56	Ohri, 2002 (Ref. 454)	2005a
Malus	angustifolia	1.56	Höfer and Meister, 2010 (Ref. 625)	2012
Sclerochloa	dura	1.56	Smarda et al., 2008 (Ref. 555)	2011
Mammillaria	haageana	1.56	Del Angel et al., 2006 (Ref. 681)	2012
Crataegus	laevigata	1.56	Telent & Dickinson, 2005 (Ref. 527)	2011
Crataegus	enderbyensis	1.56	Telent & Dickinson, 2005 (Ref. 527)	2011
Cyanus	achtarovii	1.56	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Mammillaria	huitzilopochtli	1.56	Del Angel et al., 2006 (Ref. 681)	2012
Phalaenopsis	stuartiana	1.57	Lin et al., 2001 (Ref. 447)	2005a
Gossypium	stocksii	1.57	Hendrix & Stewart, 2005 (Ref. 471)	2011
